name,main,alt,color
Dream,dreamwastaken,DreamAlt_,#54f849
GeorgeNotFound,GeorgeNotFound,ThisIsNotGeorgeNotFound,#a1cff3
Sapnap,Sapnap,sapnapalt,#88402e
Callahan,CallahanIsCool,none,#385777
Awesamdude,awesamdude,none,#556a40
Alyssa,ItsAlyssa,none,#ffffff
Ponk,DropsByPonk,none,#f3be3f
BadBoyHalo,BadBoyHalo,none,#595a5a
TommyInnit,tommyinnit,tommyinnitalt,#f06055
Tubbo,Tubbo,TubboLIVE,#eae36d
Fundy,Fundy,none,#f96c45
Punz,Punz,punzlmao,#7d6832
Purpled,Purpled,none,#a949b7
WilburSoot,WilburSoot,none,#7b642d
Jschlatt,Jschlatt,none,#88412d
Skeppy,skeppylive,none,#58d0e3
Eret,Eret,none,#a74bb7
JackManifold,JackManifoldTV,none,#30587d
Niki,Nihachu,none,#e64676
Quackity,Quackity,QuackityToo,#32646d
KarlJacobs,karljacobs,karlnetwork,#7a54bd
HBomb,HBomb94,none,#83352e
Technoblade,Technoblade,none,#d24670
Antfrost,Antfrost,none,#4cb2ee
Philza,Philza,PhilzALT,#aad384
Connor,ConnorEatsPants,none,#748c96
CaptainPuffy,CaptainPuffy,none,#7954bd
Vikkstar,Vikkstar123,none,#2c565d
LazarBeam,LazarBeam,none,#ffffff
Ranboo,RanbooLive,ranboobutnot,#b33632
FoolishGamers,Foolish__Gamers,none,#3f5f3f
Hannah,hannahxxrose,hannahxxalt,#ecb4c6
Slimecicle,Slimecicle,none,#67b669
Michaelmcchill,Michaelmcchill,none,#524321